Year,"At least 100","At least 100 (streak)","At least 110","At least 110 (streak)",Total
1950,109,29,25,7,365
1951,92,47,8,3,365
1952,104,20,7,2,366
1953,92,24,5,3,365
1954,73,16,5,2,365
1955,60,19,4,2,365
1956,70,8,1,1,366
1957,70,19,6,3,365
1958,110,38,14,8,365
1959,78,32,9,3,365
1960,98,32,10,5,366
1961,79,27,18,5,365
1962,100,46,14,7,365
1963,84,36,8,3,365
1964,68,16,7,2,366
1965,83,20,8,6,365
1966,104,49,13,4,365
1967,80,14,3,2,365
1968,87,23,8,7,366
1969,103,20,14,5,365
1970,94,34,13,6,365
1971,82,28,12,5,365
1972,89,21,12,6,366
1973,116,33,19,5,365
1974,107,38,27,18,365
1975,111,36,12,7,365
1976,82,19,7,3,366
1977,102,24,15,4,365
1978,116,44,25,9,365
1979,109,30,28,6,365
1980,107,38,16,4,366
1981,107,29,25,9,365
1982,98,34,15,5,365
1983,107,38,21,4,365
1984,109,39,8,3,366
1985,102,22,27,5,365
1986,101,32,18,4,365
1987,116,39,13,3,365
1988,122,47,20,4,366
1989,143,64,27,10,365
1990,94,19,24,9,365
1991,112,22,8,2,365
1992,120,16,12,4,366
1993,108,76,9,4,365
1994,106,25,14,4,365
1995,93,29,25,17,365
1996,107,37,13,3,366
1997,108,34,10,4,365
1998,88,25,17,5,365
1999,92,26,4,2,365
2000,119,30,15,5,366
2001,127,33,16,5,365
2002,115,60,28,5,365
2003,129,33,26,5,365
2004,109,32,12,4,366
2005,105,51,24,9,365
2006,105,35,19,5,365
2007,113,41,32,12,365
2008,106,34,22,11,366
2009,118,48,27,6,365
2010,108,39,23,5,365
2011,117,47,33,8,365
2012,117,36,21,9,366
2013,115,42,25,6,365
2014,110,35,10,3,365
2015,108,38,20,6,365
2016,99,32,30,6,366
2017,109,33,25,11,365
2018,128,35,22,7,365
2019,103,41,29,4,365
2020,145,46,53,11,366
2021,104,20,22,9,365
2022,113,37,22,10,365
